Ano de eleição,Cargo,Coligação,Cor/raça,Detalhe da situação de candidatura,Estado civil,Faixa etária,Federação,Gênero,Grau de instrução,Município,Nacionalidade,Nome social,Ocupação,Reeleição,Região,Sigla partido,Situação de candidatura,Situação de totalização,Tipo eleição,Turno,UF,Quantidade de candidatos,Quantidade de candidatos eleitos,Quantidade de candidatos para o 2º turno,Quantidade de candidatos não eleitos,Quantidade de candidatos suplentes,Quantidade de candidatos não informados,Data de carga
1996,PREFEITO,UNIDOS VENCEREMOS,#NE,#NE,#NE,30 a 34 anos,,#NE,#NE,SAO JOAO DO ARRAIAL,#NE,N,#NE,#NE,NORDESTE,PT,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIDOS VENCEREMOS,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,PORTO ACRE,#NE,N,#NE,#NE,NORTE,PMN,#NE,NAO ELEITO,Eleição Ordinária,1,AC,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNINDO FORCAS COM VOCE,#NE,#NE,#NE,55 a 59 anos,,#NE,#NE,CURRALINHOS,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VERDE E AMARELO,#NE,#NE,#NE,45 a 49 anos,,#NE,#NE,BARREIRAS DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PSB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VIVER SAO PAULO,#NE,#NE,#NE,60 a 64 anos,,#NE,#NE,SAO PAULO,#NE,N,#NE,#NE,SUDESTE,PMDB,#NE,NAO ELEITO,Eleição Ordinária,1,SP,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VONTADE DO POVO,#NE,#NE,#NE,30 a 34 anos,,#NE,#NE,CARACOL,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,#NULO#,Eleição Ordinária,1,PI,1.0,0.0,0.0,0.0,0.0,1.0,2021-06-21 15:28:17
1996,PREFEITO,VONTADE DO POVO,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,NOVO SANTO ANTONIO,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VONTADE DO POVO,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,PADRE MARCOS,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VONTADE DO POVO,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,SAO FELIX DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PPB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VONTADE DO POVO,#NE,#NE,#NE,45 a 49 anos,,#NE,#NE,LAGOA DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PTB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VONTADE DO POVO,#NE,#NE,#NE,45 a 49 anos,,#NE,#NE,PIMENTEIRAS,#NE,N,#NE,#NE,NORDESTE,PTB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,VONTADE DO POVO,#NE,#NE,#NE,50 a 54 anos,,#NE,#NE,GILBUES,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
